timestamp,datetime,type,section,content
1780910305389,"2026-06-08 10:18:25.389","ble_rx","bluetooth","RX - [BLE] ↵   RAW    : {""status"": ""ok"", ""data"": [4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 31, 35, 47, 49, 51, 66, 70, 71, 73, 74, 92, 94]} ↵   DECODED: status='ok'"
1780910305426,"2026-06-08 10:18:25.426","info","app","probe_pids — 24 PIDs soportados: 0x4, 0x5, 0x6, 0x7, 0xA, 0xB, 0xC, 0xD, 0xE, 0xF, 0x10, 0x11, 0x1F, 0x23, 0x2F, 0x31, 0x33, 0x42, 0x46, 0x47, 0x49, 0x4A, 0x5C, 0x5E"
1780910307908,"2026-06-08 10:18:27.908","ble_rx","bluetooth","RX - [BLE] ↵   RAW    : {""status"": ""ok"", ""data"": ""pong""} ↵   DECODED: status='ok' data='pong'"
1780910308429,"2026-06-08 10:18:28.429","ble_tx","bluetooth","TX - [BLE] ↵   RAW    : {""cmd"":""monitor_start"",""pids"":[4,5,12,10,13,15,17],""interval_ms"":500} ↵   DECODED: command='monitor_start' pids=[0x4,0x5,0xC,0xA,0xD,0xF,0x11]"
1780910308429,"2026-06-08 10:18:28.429","info","app","monitor_start — 7 PIDs: 0x4, 0x5, 0xC, 0xA, 0xD, 0xF, 0x11"
1780910308490,"2026-06-08 10:18:28.490","ble_rx","bluetooth","RX - [BLE] ↵   RAW    : {""status"": ""ok"", ""data"": ""monitor started""} ↵   DECODED: status='ok' data='monitor started'"
1780910308586,"2026-06-08 10:18:28.586","data","obd","RX - [OBD2] ↵   PID    : 0x04 Carga del motor ↵   VALUE  : 0.00 %"
1780910308586,"2026-06-08 10:18:28.586","data","obd","RX - [OBD2] ↵   PID    : 0x05 Temp. refrigerante ↵   VALUE  : 20.00 °C"
1780910308586,"2026-06-08 10:18:28.586","data","obd","RX - [OBD2] ↵   PID    : 0x0A Presion combustible ↵   VALUE  : 0.00 kPa"
1780910308586,"2026-06-08 10:18:28.586","data","obd","RX - [OBD2] ↵   PID    : 0x0C RPM motor ↵   VALUE  : 0 rpm"
1780910308586,"2026-06-08 10:18:28.586","data","obd","RX - [OBD2] ↵   PID    : 0x0D Velocidad ↵   VALUE  : 0.00 km/h"
1780910308586,"2026-06-08 10:18:28.586","data","obd","RX - [OBD2] ↵   PID    : 0x0F Temp. aire admision ↵   VALUE  : 20.00 °C"
1780910308586,"2026-06-08 10:18:28.586","data","obd","RX - [OBD2] ↵   PID    : 0x11 Posicion acelerador ↵   VALUE  : 0.00 %"
1780910308586,"2026-06-08 10:18:28.586","ble_tx","bluetooth","TX - [BLE] ↵   RAW    : {""type"":""heartbeat_ack""} ↵   DECODED: command='?'"
1780910309169,"2026-06-08 10:18:29.169","data","obd","RX - [OBD2] ↵   PID    : 0x04 Carga del motor ↵   VALUE  : 0.00 %"
1780910309169,"2026-06-08 10:18:29.169","data","obd","RX - [OBD2] ↵   PID    : 0x05 Temp. refrigerante ↵   VALUE  : 20.00 °C"
1780910309169,"2026-06-08 10:18:29.169","data","obd","RX - [OBD2] ↵   PID    : 0x0A Presion combustible ↵   VALUE  : 0.00 kPa"
1780910309169,"2026-06-08 10:18:29.169","data","obd","RX - [OBD2] ↵   PID    : 0x0C RPM motor ↵   VALUE  : 0 rpm"
1780910309169,"2026-06-08 10:18:29.169","data","obd","RX - [OBD2] ↵   PID    : 0x0D Velocidad ↵   VALUE  : 0.00 km/h"
1780910309169,"2026-06-08 10:18:29.169","data","obd","RX - [OBD2] ↵   PID    : 0x0F Temp. aire admision ↵   VALUE  : 20.00 °C"
1780910309169,"2026-06-08 10:18:29.169","data","obd","RX - [OBD2] ↵   PID    : 0x11 Posicion acelerador ↵   VALUE  : 0.00 %"
1780910309758,"2026-06-08 10:18:29.758","data","obd","RX - [OBD2] ↵   PID    : 0x04 Carga del motor ↵   VALUE  : 0.00 %"
1780910309758,"2026-06-08 10:18:29.758","data","obd","RX - [OBD2] ↵   PID    : 0x05 Temp. refrigerante ↵   VALUE  : 20.00 °C"
1780910309759,"2026-06-08 10:18:29.759","data","obd","RX - [OBD2] ↵   PID    : 0x0A Presion combustible ↵   VALUE  : 0.00 kPa"
1780910309759,"2026-06-08 10:18:29.759","data","obd","RX - [OBD2] ↵   PID    : 0x0C RPM motor ↵   VALUE  : 0 rpm"
1780910309759,"2026-06-08 10:18:29.759","data","obd","RX - [OBD2] ↵   PID    : 0x0D Velocidad ↵   VALUE  : 0.00 km/h"
1780910309759,"2026-06-08 10:18:29.759","data","obd","RX - [OBD2] ↵   PID    : 0x0F Temp. aire admision ↵   VALUE  : 20.00 °C"
1780910309759,"2026-06-08 10:18:29.759","data","obd","RX - [OBD2] ↵   PID    : 0x11 Posicion acelerador ↵   VALUE  : 0.00 %"
1780910310357,"2026-06-08 10:18:30.357","data","obd","RX - [OBD2] ↵   PID    : 0x04 Carga del motor ↵   VALUE  : 0.00 %"
1780910310357,"2026-06-08 10:18:30.357","data","obd","RX - [OBD2] ↵   PID    : 0x05 Temp. refrigerante ↵   VALUE  : 20.00 °C"
1780910310357,"2026-06-08 10:18:30.357","data","obd","RX - [OBD2] ↵   PID    : 0x0A Presion combustible ↵   VALUE  : 0.00 kPa"
1780910310357,"2026-06-08 10:18:30.357","data","obd","RX - [OBD2] ↵   PID    : 0x0C RPM motor ↵   VALUE  : 0 rpm"
1780910310357,"2026-06-08 10:18:30.357","data","obd","RX - [OBD2] ↵   PID    : 0x0D Velocidad ↵   VALUE  : 0.00 km/h"
1780910310358,"2026-06-08 10:18:30.358","data","obd","RX - [OBD2] ↵   PID    : 0x0F Temp. aire admision ↵   VALUE  : 20.00 °C"
1780910310358,"2026-06-08 10:18:30.358","data","obd","RX - [OBD2] ↵   PID    : 0x11 Posicion acelerador ↵   VALUE  : 0.00 %"
1780910310940,"2026-06-08 10:18:30.940","data","obd","RX - [OBD2] ↵   PID    : 0x04 Carga del motor ↵   VALUE  : 0.00 %"
1780910310940,"2026-06-08 10:18:30.940","data","obd","RX - [OBD2] ↵   PID    : 0x05 Temp. refrigerante ↵   VALUE  : 20.00 °C"
1780910310940,"2026-06-08 10:18:30.940","data","obd","RX - [OBD2] ↵   PID    : 0x0A Presion combustible ↵   VALUE  : 0.00 kPa"
1780910310940,"2026-06-08 10:18:30.940","data","obd","RX - [OBD2] ↵   PID    : 0x0C RPM motor ↵   VALUE  : 0 rpm"
1780910310940,"2026-06-08 10:18:30.940","data","obd","RX - [OBD2] ↵   PID    : 0x0D Velocidad ↵   VALUE  : 0.00 km/h"
1780910310940,"2026-06-08 10:18:30.940","data","obd","RX - [OBD2] ↵   PID    : 0x0F Temp. aire admision ↵   VALUE  : 20.00 °C"
1780910310941,"2026-06-08 10:18:30.941","data","obd","RX - [OBD2] ↵   PID    : 0x11 Posicion acelerador ↵   VALUE  : 0.00 %"
1780910311571,"2026-06-08 10:18:31.571","data","obd","RX - [OBD2] ↵   PID    : 0x04 Carga del motor ↵   VALUE  : 0.00 %"
1780910311571,"2026-06-08 10:18:31.571","data","obd","RX - [OBD2] ↵   PID    : 0x05 Temp. refrigerante ↵   VALUE  : 20.00 °C"
1780910311571,"2026-06-08 10:18:31.571","data","obd","RX - [OBD2] ↵   PID    : 0x0A Presion combustible ↵   VALUE  : 0.00 kPa"
1780910311571,"2026-06-08 10:18:31.571","data","obd","RX - [OBD2] ↵   PID    : 0x0C RPM motor ↵   VALUE  : 0 rpm"
1780910311571,"2026-06-08 10:18:31.571","data","obd","RX - [OBD2] ↵   PID    : 0x0D Velocidad ↵   VALUE  : 0.00 km/h"
1780910311571,"2026-06-08 10:18:31.571","data","obd","RX - [OBD2] ↵   PID    : 0x0F Temp. aire admision ↵   VALUE  : 20.00 °C"
1780910311571,"2026-06-08 10:18:31.571","data","obd","RX - [OBD2] ↵   PID    : 0x11 Posicion acelerador ↵   VALUE  : 0.00 %"
1780910312110,"2026-06-08 10:18:32.110","data","obd","RX - [OBD2] ↵   PID    : 0x04 Carga del motor ↵   VALUE  : 0.00 %"
1780910312110,"2026-06-08 10:18:32.110","data","obd","RX - [OBD2] ↵   PID    : 0x05 Temp. refrigerante ↵   VALUE  : 20.00 °C"
1780910312111,"2026-06-08 10:18:32.111","data","obd","RX - [OBD2] ↵   PID    : 0x0A Presion combustible ↵   VALUE  : 0.00 kPa"
1780910312111,"2026-06-08 10:18:32.111","data","obd","RX - [OBD2] ↵   PID    : 0x0C RPM motor ↵   VALUE  : 0 rpm"
